,pickup_zone,drop_zone
476,Washington Heights South,Lincoln Square East
477,Rego Park,Elmhurst
478,Elmhurst,Astoria
479,Elmhurst,Midtown Center
480,Fort Greene,Financial District South
481,Oakland Gardens,Oakland Gardens
482,Mott Haven/Port Morris,Central Harlem
486,Washington Heights North,Midtown South
489,Hamilton Heights,East Chelsea
493,Central Harlem,East Concourse/Concourse Village
494,Highbridge,World Trade Center
497,Ocean Hill,East New York
502,Central Harlem,Penn Station/Madison Sq West
503,Astoria,Jackson Heights
506,Central Park,Upper West Side North
509,Central Harlem North,Upper East Side South
510,Central Harlem,Upper East Side North
511,East Harlem North,Soundview/Bruckner
512,East Harlem North,Lincoln Square West
513,Astoria,South Ozone Park
515,Manhattanville,Penn Station/Madison Sq West
516,East Harlem South,Central Park
517,Central Harlem North,Yorkville West
520,Central Harlem,Clinton East
522,Washington Heights South,Greenwich Village South
526,Woodside,Bayside
531,East Harlem North,Sutton Place/Turtle Bay North
533,Sunnyside,Sunnyside
536,Sunnyside,Astoria
539,Central Harlem,Lincoln Square East
541,Hamilton Heights,Washington Heights South
542,Central Harlem North,Sutton Place/Turtle Bay North
543,East Harlem South,Hamilton Heights
546,Morningside Heights,Washington Heights North
548,Central Harlem,Upper West Side South
549,Queens Village,Woodside
552,DUMBO/Vinegar Hill,Times Sq/Theatre District
553,Sunnyside,Sutton Place/Turtle Bay North
555,Astoria,Pelham Parkway
560,Brownsville,Bedford
562,East Harlem North,Mott Haven/Port Morris
569,Brooklyn Heights,Midtown North
570,Rego Park,Forest Hills
573,Fort Greene,Flatbush/Ditmas Park
574,Downtown Brooklyn/MetroTech,Long Island City/Hunters Point
575,Forest Hills,Baisley Park
577,JFK Airport,Sunnyside
578,Central Harlem,Yorkville West
580,Central Park,Astoria
583,East Harlem South,Sutton Place/Turtle Bay North
587,Astoria,East Elmhurst
588,Astoria,Forest Hills
589,Bloomingdale,Lincoln Square West
590,Central Harlem,Midtown North
592,East Harlem North,Fordham South
603,Jamaica Estates,Jamaica Estates
609,East Harlem North,West Village
610,Astoria,Roosevelt Island
612,Washington Heights North,Gramercy
614,Forest Hills,Richmond Hill
616,DUMBO/Vinegar Hill,Park Slope
626,East Harlem South,Woodside
627,Brooklyn Heights,Clinton East
631,Jackson Heights,Upper East Side South
632,Elmhurst/Maspeth,LaGuardia Airport
633,Jackson Heights,Forest Hills
639,Rego Park,Woodside
641,East Harlem South,Bloomingdale
642,Fort Greene,DUMBO/Vinegar Hill
643,Downtown Brooklyn/MetroTech,East Flatbush/Remsen Village
645,Downtown Brooklyn/MetroTech,Upper East Side South
647,East Harlem South,Yorkville East
652,Central Harlem,Norwood
659,DUMBO/Vinegar Hill,Midtown North
660,Washington Heights South,JFK Airport
663,Coney Island,Chinatown
667,DUMBO/Vinegar Hill,Lincoln Square East
668,Downtown Brooklyn/MetroTech,Sutton Place/Turtle Bay North
670,Downtown Brooklyn/MetroTech,Bushwick South
674,Co-Op City,Soundview/Castle Hill
675,East Harlem South,West Concourse
678,East Harlem South,Morningside Heights
682,DUMBO/Vinegar Hill,Battery Park
683,Fort Greene,West Chelsea/Hudson Yards
689,Cobble Hill,Stuyvesant Heights
691,Mott Haven/Port Morris,East Harlem South
692,Forest Hills,Rego Park
693,East Harlem North,Central Park
699,Downtown Brooklyn/MetroTech,Park Slope
700,Bay Ridge,Midtown Center
702,Elmhurst/Maspeth,Elmhurst/Maspeth
704,Elmhurst/Maspeth,Elmhurst
705,Central Harlem North,Mott Haven/Port Morris
707,DUMBO/Vinegar Hill,Columbia Street
710,Astoria,Queensboro Hill
711,East Elmhurst,Corona
712,Rego Park,Jamaica Estates
716,Melrose South,Melrose South
720,Steinway,Corona
725,East Harlem North,Inwood
726,Elmhurst,Bedford
727,Jackson Heights,Corona
728,East Tremont,East Tremont
729,Woodside,Long Island City/Hunters Point
733,Astoria,Bushwick North
735,East Harlem South,Central Harlem
737,Forest Hills,Glendale
738,Washington Heights South,Upper East Side South
740,East Elmhurst,Lenox Hill East
742,Jamaica,Jamaica Estates
745,Central Harlem North,Mount Hope
747,East Harlem South,Manhattanville
748,East Harlem North,East Concourse/Concourse Village
752,Jackson Heights,Sunnyside
753,Jamaica,SoHo
754,Boerum Hill,Bedford
755,Central Park,Yorkville West
760,Boerum Hill,Boerum Hill
762,Melrose South,Bedford Park
766,Fort Greene,Prospect-Lefferts Gardens
767,Boerum Hill,DUMBO/Vinegar Hill
773,East Williamsburg,Prospect Park
774,Washington Heights South,Upper West Side North
777,Downtown Brooklyn/MetroTech,Lower East Side
779,Forest Hills,Sunnyside
780,Hamilton Heights,Soundview/Bruckner
783,Manhattan Beach,Sunset Park West
786,Elmhurst,Elmhurst/Maspeth
788,Bloomingdale,Upper East Side North
789,Highbridge Park,Washington Heights North
790,East Harlem South,Central Harlem North
793,East Harlem South,Kips Bay
795,Jackson Heights,North Corona
796,Jamaica,Long Island City/Hunters Point
797,Woodside,Astoria
799,West Concourse,East Harlem North
800,Central Harlem,Highbridge
801,Morningside Heights,Hamilton Heights
804,Astoria,Midtown Center
805,Fort Greene,Boerum Hill
806,Washington Heights South,Morrisania/Melrose
808,DUMBO/Vinegar Hill,Upper West Side North
811,Long Island City/Queens Plaza,Long Island City/Queens Plaza
821,East Williamsburg,Kips Bay
825,Manhattanville,Eastchester
826,East Tremont,Highbridge
828,East Harlem North,Washington Heights North
829,Washington Heights South,East Harlem South
834,Hunts Point,Melrose South
836,Morrisania/Melrose,Central Harlem North
838,Sunset Park West,Sheepshead Bay
848,Central Harlem,Longwood
851,Washington Heights South,Midtown North
852,Forest Hills,Hillcrest/Pomonok
853,Jackson Heights,Flushing
854,Boerum Hill,Brownsville
855,Astoria,Long Island City/Queens Plaza
856,East Harlem North,Yorkville East
860,Woodside,Elmhurst/Maspeth
861,Mott Haven/Port Morris,Hamilton Heights
862,Downtown Brooklyn/MetroTech,South Williamsburg
863,Bedford,Stuyvesant Heights
866,Woodside,Williamsburg (North Side)
868,Upper East Side North,Midtown Center
874,East Concourse/Concourse Village,Inwood
876,Ridgewood,Clinton East
881,Central Harlem,West Concourse
884,Elmhurst,Middle Village
885,Central Park,Clinton East
887,Steinway,Briarwood/Jamaica Hills
892,Soundview/Castle Hill,Soundview/Bruckner
893,Astoria,Ridgewood
895,Melrose South,East Chelsea
896,Park Slope,Garment District
901,Elmhurst,Corona
902,Fort Greene,Bedford
903,Forest Hills,Oakland Gardens
905,Brooklyn Heights,Times Sq/Theatre District
909,Middle Village,Rego Park
911,Woodside,Times Sq/Theatre District
912,East Williamsburg,Two Bridges/Seward Park
914,Central Park,Lenox Hill West
915,Central Harlem,Lenox Hill West
918,West Concourse,University Heights/Morris Heights
926,Melrose South,East Harlem South
930,Old Astoria,Jackson Heights
935,Elmhurst/Maspeth,Lenox Hill East
936,Fort Greene,Williamsburg (North Side)
941,Washington Heights South,Yorkville East
945,Old Astoria,Roosevelt Island
946,Park Slope,Windsor Terrace
948,Williamsburg (South Side),Clinton East
950,Park Slope,Crown Heights North
951,Steinway,Steinway
952,Sunnyside,Lenox Hill West
953,Central Harlem North,Eastchester
956,Manhattan Beach,Bay Ridge
957,Fort Greene,Garment District
959,Brooklyn Heights,Clinton Hill
961,Elmhurst,Greenpoint
966,Flatbush/Ditmas Park,Erasmus
967,Ridgewood,East Williamsburg
969,Fort Greene,Fort Greene
972,East Williamsburg,Bushwick South
973,Van Cortlandt Village,Soundview/Castle Hill
975,Forest Hills,North Corona
979,Williamsburg (North Side),Midtown Center
985,East Harlem North,Claremont/Bathgate
987,East Harlem South,University Heights/Morris Heights
990,East Williamsburg,Midtown South
991,Williamsburg (South Side),TriBeCa/Civic Center
995,Queensbridge/Ravenswood,Astoria
996,Elmhurst/Maspeth,Jackson Heights
999,Coney Island,Coney Island
1000,Westchester Village/Unionport,Washington Heights South
1001,East Harlem South,Soundview/Bruckner
1006,Bloomingdale,East Harlem South
1008,Central Park,Clinton West
1013,Jamaica,Elmhurst
1019,Central Harlem North,Clinton West
1020,Downtown Brooklyn/MetroTech,Kensington
1021,Sunnyside,Midtown South
1023,Melrose South,Astoria
1024,East Harlem South,Mott Haven/Port Morris
1027,Fort Greene,Flatlands
1029,Greenpoint,TriBeCa/Civic Center
1030,Bushwick North,Ocean Hill
1032,Jackson Heights,South Ozone Park
1033,Maspeth,Williamsburg (South Side)
1035,Sunnyside,Elmhurst
1040,Jackson Heights,Maspeth
1041,Williamsburg (North Side),Williamsburg (North Side)
1044,Maspeth,DUMBO/Vinegar Hill
1045,Maspeth,Midtown South
1046,Central Harlem North,LaGuardia Airport
1047,Van Cortlandt Village,Highbridge
1053,University Heights/Morris Heights,Mount Hope
1054,Jackson Heights,LaGuardia Airport
1055,Maspeth,Clinton East
1057,Elmhurst,Bushwick North
1058,Elmhurst,Oakland Gardens
1059,Jackson Heights,Baisley Park
1061,Manhattanville,Lenox Hill West
1062,Central Harlem North,Bloomingdale
1065,Forest Hills,Upper East Side South
1066,Prospect Heights,JFK Airport
1068,East Harlem North,Morrisania/Melrose
1070,Van Nest/Morris Park,Van Nest/Morris Park
1071,East Harlem South,Lenox Hill East
1072,Kensington,Kensington
1078,Astoria,LaGuardia Airport
1079,Woodside,East Williamsburg
1080,Elmhurst,Upper East Side South
1081,Brooklyn Heights,Newark Airport
1082,JFK Airport,Williamsburg (South Side)
1083,Greenpoint,Lenox Hill East
1084,Hamilton Heights,Garment District
1085,Ozone Park,Ozone Park
1087,Hamilton Heights,Lenox Hill West
1095,Morningside Heights,Central Park
1096,Central Park,Midtown East
1098,Manhattanville,Highbridge Park
1107,Astoria,Longwood
1108,Jackson Heights,Lenox Hill East
1109,Claremont/Bathgate,Mount Hope
1110,Astoria,Lenox Hill West
1111,Flatlands,Flatlands
1112,Flatlands,Prospect-Lefferts Gardens
1113,Crown Heights North,Ocean Hill
1115,Rego Park,JFK Airport
1116,Forest Hills,Elmhurst
1117,Williamsburg (South Side),Little Italy/NoLiTa
1121,Hamilton Heights,Upper West Side North
1122,Sunnyside,Saint Michaels Cemetery/Woodside
1123,Upper East Side North,Central Park
1124,Central Harlem,Central Park
1126,Brooklyn Heights,DUMBO/Vinegar Hill
1127,Central Harlem North,Times Sq/Theatre District
1130,Morrisania/Melrose,East Harlem North
1132,Central Harlem North,Parkchester
1135,Central Harlem North,Central Park
1139,Park Slope,Prospect Heights
1142,Sheepshead Bay,Marine Park/Mill Basin
1145,Central Harlem North,Yorkville East
1147,Clinton Hill,Fort Greene
1150,Upper East Side North,Upper East Side South
1151,Downtown Brooklyn/MetroTech,Brooklyn Heights
1152,Manhattanville,Central Harlem
1154,Manhattanville,Morningside Heights
1155,Bay Terrace/Fort Totten,Flushing
1156,Woodside,Forest Hills
1157,Central Harlem North,Hamilton Heights
1161,Brooklyn Heights,Crown Heights North
1163,East Harlem North,East Village
1171,Downtown Brooklyn/MetroTech,Clinton Hill
1173,West Concourse,Washington Heights South
1175,West Concourse,East Concourse/Concourse Village
1177,Kew Gardens,South Ozone Park
1178,Kew Gardens,Glen Oaks
1179,Central Park,Central Park
1180,Red Hook,Red Hook
1182,Boerum Hill,Park Slope
1188,Woodside,Steinway
1190,Long Island City/Hunters Point,Greenpoint
1191,East Harlem South,Bay Ridge
1192,Jamaica,Kew Gardens Hills
1193,Downtown Brooklyn/MetroTech,DUMBO/Vinegar Hill
1196,Rego Park,Times Sq/Theatre District
1199,Downtown Brooklyn/MetroTech,Fort Greene
1204,Kew Gardens,Queens Village
1208,Downtown Brooklyn/MetroTech,Flatbush/Ditmas Park
1209,Jackson Heights,Upper East Side North
1210,Washington Heights North,Washington Heights South
1212,Boerum Hill,Brooklyn Heights
1213,Central Harlem,Garment District
1217,Downtown Brooklyn/MetroTech,Jackson Heights
1224,Washington Heights South,Mott Haven/Port Morris
1226,Manhattanville,Upper West Side North
1228,Central Harlem North,TriBeCa/Civic Center
1229,Astoria,Upper East Side North
1231,Central Harlem,JFK Airport
1233,Central Harlem,College Point
1234,Cobble Hill,Carroll Gardens
1235,Central Park,East Harlem South
1236,Astoria,Upper West Side North
1239,Elmhurst/Maspeth,Sunnyside
1243,Old Astoria,East Harlem South
1245,Fort Greene,Brooklyn Heights
1247,Boerum Hill,Gowanus
1248,Manhattanville,Upper East Side North
1255,East Harlem North,Murray Hill
1256,Rego Park,Hudson Sq
1259,Rego Park,Jackson Heights
1260,East Concourse/Concourse Village,Central Harlem
1261,Park Slope,Downtown Brooklyn/MetroTech
1262,East Harlem South,Meatpacking/West Village West
1263,East Flatbush/Farragut,East Flatbush/Farragut
1265,Fort Greene,Chinatown
1267,Old Astoria,Steinway
1268,East Harlem South,East Village
1272,Astoria,Manhattan Beach
1274,Central Harlem North,Morrisania/Melrose
1277,Morningside Heights,Meatpacking/West Village West
1278,Ocean Hill,Glendale
1279,Forest Hills,East Elmhurst
1281,Downtown Brooklyn/MetroTech,Boerum Hill
1283,Queensboro Hill,LaGuardia Airport
1287,Boerum Hill,Stuyvesant Heights
1290,Fort Greene,Bay Ridge
1293,Central Park,Midtown Center
1295,Fort Greene,Prospect Heights
1299,East Harlem North,Hunts Point
1301,East Harlem North,Midtown North
1303,Central Harlem,Astoria
1307,Hamilton Heights,Upper West Side South
1308,Washington Heights North,Upper West Side North
1310,East Harlem South,Union Sq
1314,Downtown Brooklyn/MetroTech,Midtown South
1327,Astoria,Midtown North
1331,Sunnyside,DUMBO/Vinegar Hill
1332,Park Slope,Sutton Place/Turtle Bay North
1333,Boerum Hill,Fort Greene
1341,East Harlem South,Washington Heights North
1347,Astoria,Clinton East
1349,Fort Greene,Cobble Hill
1350,Upper East Side North,Manhattan Valley
1351,Bloomingdale,LaGuardia Airport
