,pickup_zone,drop_zone
358596,Woodside,Saint Albans
358611,Coney Island,Lower East Side
358622,West Farms/Bronx River,Morrisania/Melrose
358739,East New York/Pennsylvania Avenue,Starrett City
359044,Hollis,East Harlem North
359232,Sunnyside,Upper West Side North
359343,Downtown Brooklyn/MetroTech,Richmond Hill
359376,Washington Heights South,Jamaica
359491,Sunset Park East,Kensington
359498,Crown Heights South,Erasmus
359621,Central Harlem North,Kew Gardens
360084,Central Park,Kingsbridge Heights
360379,Claremont/Bathgate,Westchester Village/Unionport
360445,Bushwick South,Woodhaven
360570,Bayside,Richmond Hill
360589,Starrett City,Sheepshead Bay
360668,Washington Heights South,Downtown Brooklyn/MetroTech
360735,Bushwick North,World Trade Center
360745,Bushwick North,Stuy Town/Peter Cooper Village
360787,East Elmhurst,Rego Park
360821,Baisley Park,Windsor Terrace
360859,Red Hook,Washington Heights North
360895,East New York,Clinton Hill
360958,Richmond Hill,Rosedale
360974,East New York/Pennsylvania Avenue,Coney Island
360978,Bay Terrace/Fort Totten,Murray Hill-Queens
361159,Coney Island,Bushwick North
361174,Red Hook,Greenwich Village North
361223,Kew Gardens Hills,Lenox Hill West
361280,Kensington,East Flatbush/Remsen Village
361325,Washington Heights South,Windsor Terrace
361560,Red Hook,Midtown South
361577,Bushwick North,Coney Island
361592,Forest Hills,East Flatbush/Remsen Village
361654,Elmhurst/Maspeth,Midwood
361729,East Flatbush/Remsen Village,Kensington
361885,JFK Airport,Elmhurst/Maspeth
362069,Ridgewood,Flushing
362133,Long Island City/Hunters Point,Flushing Meadows-Corona Park
362193,East Harlem South,Arrochar/Fort Wadsworth
362354,College Point,Queensboro Hill
362432,Bedford,Flushing Meadows-Corona Park
362444,Morningside Heights,Bronx Park
362495,Van Cortlandt Village,Manhattan Valley
362509,Flushing Meadows-Corona Park,Bay Ridge
362511,Flushing Meadows-Corona Park,Windsor Terrace
362512,Willets Point,Penn Station/Madison Sq West
362637,Willets Point,Yorkville West
362829,Manhattan Beach,JFK Airport
362905,East Flushing,Jamaica
362930,Soundview/Castle Hill,Lincoln Square East
362979,East New York,Prospect-Lefferts Gardens
363014,Bensonhurst West,Bensonhurst East
363019,Yorkville East,South Ozone Park
363050,Brighton Beach,Queensboro Hill
363446,South Ozone Park,Stuyvesant Heights
363563,Brownsville,Far Rockaway
363655,Bedford,Hudson Sq
363664,East New York,East Flatbush/Remsen Village
363882,Pelham Bay Park,Williamsburg (North Side)
363920,Breezy Point/Fort Tilden/Riis Beach,Elmhurst
363941,Bloomingdale,Williamsburg (South Side)
363975,Flushing Meadows-Corona Park,Gravesend
364010,South Ozone Park,Carroll Gardens
364162,Financial District North,Crown Heights North
364231,Maspeth,Stuy Town/Peter Cooper Village
364242,Maspeth,Gramercy
364274,East Williamsburg,Roosevelt Island
364322,Stuyvesant Heights,Lower East Side
364332,Gowanus,Alphabet City
364476,Soundview/Castle Hill,Eastchester
364571,South Ozone Park,Murray Hill
364572,Canarsie,Astoria
364724,Ozone Park,JFK Airport
364921,Yorkville West,Astoria
364962,JFK Airport,Hollis
365066,Bronx Park,Bedford Park
365108,West Concourse,Two Bridges/Seward Park
365221,East New York/Pennsylvania Avenue,Forest Hills
365243,Rego Park,Rockaway Park
365286,Coney Island,Claremont/Bathgate
365345,Cobble Hill,Lincoln Square West
365409,Coney Island,Crown Heights South
365457,Boerum Hill,Elmhurst/Maspeth
365480,East Williamsburg,Saint Albans
365488,Van Cortlandt Village,Melrose South
365682,East Harlem South,Howard Beach
365733,Long Island City/Hunters Point,Greenwich Village South
365781,East New York,Forest Park/Highland Park
365794,Forest Hills,Dyker Heights
365850,LaGuardia Airport,Springfield Gardens South
365873,Arden Heights,Great Kills Park
365895,Morrisania/Melrose,Lenox Hill West
365900,Cypress Hills,Midtown North
365960,Williamsbridge/Olinville,Woodlawn/Wakefield
366025,Bedford,Gowanus
366195,Woodside,Carroll Gardens
366261,East New York,Cobble Hill
366329,LaGuardia Airport,Hollis
366392,Brooklyn Navy Yard,Williamsburg (South Side)
366478,Murray Hill-Queens,Washington Heights South
366513,Oakwood,Bushwick South
366529,Norwood,East Harlem North
366577,Long Island City/Queens Plaza,Bedford Park
366592,Coney Island,SoHo
366597,Mott Haven/Port Morris,Alphabet City
366619,Pelham Bay Park,Claremont/Bathgate
366620,Pelham Bay Park,Co-Op City
366635,Stuyvesant Heights,Midwood
366683,Jackson Heights,Rosedale
366843,Central Harlem,Brooklyn Navy Yard
366883,Whitestone,East Elmhurst
367032,Brownsville,Boerum Hill
367158,Rego Park,Auburndale
367205,Jackson Heights,Sunset Park East
367231,Woodside,Fordham South
367524,Middle Village,Briarwood/Jamaica Hills
367554,Roosevelt Island,Jackson Heights
367862,Upper East Side North,Grymes Hill/Clifton
367883,Elmhurst,Woodlawn/Wakefield
368340,Greenpoint,Kensington
368466,Springfield Gardens South,East Flushing
368929,Canarsie,Starrett City
369062,Mount Hope,Crown Heights North
369074,Morrisania/Melrose,Steinway
369165,Mott Haven/Port Morris,UN/Turtle Bay South
369212,Glen Oaks,Jamaica
369397,Co-Op City,Marble Hill
369426,Auburndale,Hollis
369517,Prospect Heights,West Chelsea/Hudson Yards
369529,Borough Park,Ocean Hill
369599,Erasmus,East Tremont
369890,East Flushing,Forest Hills
370135,Coney Island,World Trade Center
370214,Rego Park,Sheepshead Bay
370327,Cobble Hill,Homecrest
370392,Howard Beach,Sheepshead Bay
370540,Mount Hope,Upper West Side South
370676,JFK Airport,Norwood
370985,Spuyten Duyvil/Kingsbridge,Mott Haven/Port Morris
371043,Central Harlem,Richmond Hill
371058,Brooklyn Navy Yard,Yorkville East
371171,Marine Park/Mill Basin,Erasmus
371190,Flushing,Upper East Side North
371329,Melrose South,Baisley Park
371397,Kew Gardens,Borough Park
371613,South Jamaica,Queensboro Hill
371660,Morningside Heights,Oakwood
371874,Saint Michaels Cemetery/Woodside,Jackson Heights
371898,Long Island City/Hunters Point,Clinton East
372000,Willets Point,Windsor Terrace
372037,Flushing Meadows-Corona Park,Queensbridge/Ravenswood
372040,Bellerose,Briarwood/Jamaica Hills
372161,Sunnyside,College Point
372196,Maspeth,Jamaica
372248,South Jamaica,Springfield Gardens South
372418,Sunset Park West,JFK Airport
372444,Red Hook,Upper West Side South
372468,Red Hook,Washington Heights South
372518,Woodside,East Concourse/Concourse Village
372627,Cobble Hill,Sheepshead Bay
372649,Clinton Hill,UN/Turtle Bay South
372819,Flushing,South Williamsburg
372904,Downtown Brooklyn/MetroTech,Flushing Meadows-Corona Park
372977,Bedford,Two Bridges/Seward Park
373001,East Flatbush/Remsen Village,Prospect Park
373083,Washington Heights South,Prospect Heights
373401,Sheepshead Bay,Lenox Hill West
373420,Kew Gardens,Times Sq/Theatre District
373591,Flushing,Upper East Side South
373592,Flushing Meadows-Corona Park,Little Italy/NoLiTa
373601,Elmhurst/Maspeth,Fresh Meadows
373632,Washington Heights South,Flatlands
373682,Willets Point,Prospect Heights
373716,Richmond Hill,Erasmus
373717,DUMBO/Vinegar Hill,Flushing
373725,LaGuardia Airport,West Village
373752,Flushing Meadows-Corona Park,Howard Beach
374011,Queensboro Hill,Kew Gardens
374023,Hamilton Heights,Murray Hill-Queens
374024,Williamsbridge/Olinville,West Farms/Bronx River
374062,Steinway,Ozone Park
374299,East New York/Pennsylvania Avenue,East Flatbush/Farragut
374315,JFK Airport,Manhattan Valley
374356,Highbridge,Lenox Hill East
374391,Long Island City/Queens Plaza,Newark Airport
374586,Bedford Park,Westchester Village/Unionport
374629,Boerum Hill,Flushing Meadows-Corona Park
374746,Pelham Bay Park,Mount Hope
374837,Mott Haven/Port Morris,Clinton West
374915,Long Island City/Hunters Point,Bushwick North
374923,Boerum Hill,Astoria
374992,Mount Hope,Williamsbridge/Olinville
375017,Bushwick North,Kips Bay
375027,Woodlawn/Wakefield,Fordham South
375032,Briarwood/Jamaica Hills,Two Bridges/Seward Park
375105,Steinway,Springfield Gardens South
375276,Westchester Village/Unionport,North Corona
375416,Forest Park/Highland Park,Flushing
375509,Williamsbridge/Olinville,Pelham Bay Park
375672,Brooklyn Navy Yard,East Williamsburg
375822,Bushwick South,Ocean Hill
375823,Ocean Hill,Greenpoint
375831,Randalls Island,Elmhurst
375981,Fordham South,Central Harlem
376115,Clinton Hill,Upper East Side South
376256,Springfield Gardens South,Forest Hills
376282,Longwood,Lenox Hill East
376320,Hollis,Briarwood/Jamaica Hills
376367,Flushing Meadows-Corona Park,Cypress Hills
376536,Bayside,Elmhurst
376565,Mott Haven/Port Morris,Kips Bay
376823,Brooklyn Heights,Gravesend
376844,Briarwood/Jamaica Hills,College Point
376847,Fresh Meadows,Woodhaven
377307,Central Harlem,Erasmus
377439,Jamaica,West Chelsea/Hudson Yards
377458,East Harlem South,Oakwood
377582,Gowanus,East Chelsea
377838,Bensonhurst East,Flatlands
378008,Elmhurst/Maspeth,Pelham Parkway
378129,Manhattanville,Kew Gardens
378170,Jackson Heights,Gowanus
378197,Kensington,Brownsville
378737,Downtown Brooklyn/MetroTech,East Flushing
378774,Fordham South,Washington Heights North
378848,North Corona,Long Island City/Hunters Point
379105,Crown Heights South,Woodside
379187,Windsor Terrace,Clinton Hill
379233,Coney Island,Clinton Hill
379316,Maspeth,Brighton Beach
379685,Yorkville West,Greenpoint
379837,West Concourse,Greenwich Village South
379877,Richmond Hill,Bay Terrace/Fort Totten
379878,Bay Terrace/Fort Totten,Bay Terrace/Fort Totten
379884,Carroll Gardens,Brighton Beach
379889,Murray Hill-Queens,Jackson Heights
379913,Middle Village,Upper East Side North
380009,East Concourse/Concourse Village,Downtown Brooklyn/MetroTech
380026,Jamaica,Madison
380203,LaGuardia Airport,Lower East Side
380402,Elmhurst,Morrisania/Melrose
380519,Kew Gardens,Central Park
380594,Rego Park,Little Italy/NoLiTa
380608,Sunset Park West,Brighton Beach
380617,Crotona Park East,Greenwich Village North
380624,Coney Island,Penn Station/Madison Sq West
380625,Mott Haven/Port Morris,East Chelsea
380777,Kew Gardens,Morrisania/Melrose
380977,Pelham Bay,Hunts Point
381089,Prospect Heights,Meatpacking/West Village West
381140,Westchester Village/Unionport,Highbridge
381196,Clinton Hill,Steinway
381428,Eastchester,Soundview/Castle Hill
381499,North Corona,Whitestone
381513,Morrisania/Melrose,Williamsbridge/Olinville
381524,Downtown Brooklyn/MetroTech,Spuyten Duyvil/Kingsbridge
381594,Highbridge,Upper East Side South
381667,Manhattan Beach,Kensington
381681,West Concourse,Flatiron
381683,Bronx Park,East Tremont
381719,Highbridge,Long Island City/Hunters Point
381742,West Concourse,Park Slope
381785,Dyker Heights,Woodside
381799,East Tremont,JFK Airport
381976,Morningside Heights,Astoria Park
382295,Inwood Hill Park,Marble Hill
382533,Pelham Bay,Spuyten Duyvil/Kingsbridge
382704,Central Park,Highbridge Park
382886,Jackson Heights,Forest Park/Highland Park
382972,Crotona Park East,Longwood
383544,Highbridge,Williamsbridge/Olinville
383578,Prospect Heights,Lenox Hill West
383590,Coney Island,East Harlem South
383593,Carroll Gardens,Upper West Side North
383604,Highbridge,East Village
383606,Highbridge,Old Astoria
383623,Williamsburg (North Side),Central Park
383733,Brooklyn Heights,Homecrest
383820,Forest Park/Highland Park,Prospect-Lefferts Gardens
384119,Corona,Queensboro Hill
384353,Inwood,Van Cortlandt Park
384490,Springfield Gardens North,Saint Albans
384792,East Harlem North,Queens Village
385019,Upper East Side North,Park Slope
385328,Central Park,Bushwick South
385436,DUMBO/Vinegar Hill,Long Island City/Queens Plaza
385503,Coney Island,TriBeCa/Civic Center
385595,East Concourse/Concourse Village,Midtown Center
385738,West Concourse,Stuyvesant Heights
385763,Yorkville East,Mott Haven/Port Morris
385800,Jackson Heights,Port Richmond
385837,Manhattanville,Downtown Brooklyn/MetroTech
385838,Ridgewood,Fort Greene
385851,Fresh Meadows,Cypress Hills
385949,Flushing,Penn Station/Madison Sq West
386070,Inwood,Midtown East
386289,Morningside Heights,Woodhaven
386302,Forest Park/Highland Park,Richmond Hill
386561,Coney Island,Queensbridge/Ravenswood
386601,Bronxdale,Highbridge
386613,Long Island City/Hunters Point,Sunset Park West
386794,Briarwood/Jamaica Hills,Canarsie
386795,Marble Hill,East Tremont
386853,Fordham South,West Farms/Bronx River
386926,Crown Heights North,Rego Park
387011,Prospect Heights,Midtown South
387067,Pelham Bay Park,Bedford Park
387122,Forest Park/Highland Park,Ridgewood
387187,Steinway,Inwood
387215,LaGuardia Airport,Upper West Side North
387342,Willets Point,Bayside
387378,Hunts Point,Kingsbridge Heights
387403,Williamsburg (North Side),East Concourse/Concourse Village
387407,Cobble Hill,Rego Park
387426,Laurelton,Jackson Heights
387441,East Williamsburg,Cypress Hills
387457,Maspeth,Lower East Side
387497,Cobble Hill,Flushing Meadows-Corona Park
387537,Coney Island,Maspeth
387557,Woodside,Bedford Park
387625,Old Astoria,Prospect Park
387677,Auburndale,Elmhurst/Maspeth
387806,Williamsburg (North Side),Allerton/Pelham Gardens
387900,Flushing,Union Sq
387903,Fresh Meadows,Sunnyside
387952,Roosevelt Island,Gramercy
388239,Marine Park/Floyd Bennett Field,Sunset Park East
388455,Jamaica,Spuyten Duyvil/Kingsbridge
388464,Queensbridge/Ravenswood,Hillcrest/Pomonok
388497,Bedford Park,Soundview/Castle Hill
388628,DUMBO/Vinegar Hill,Rego Park
388643,Clinton Hill,Flatlands
388650,East Williamsburg,Bayside
388686,Kingsbridge Heights,Hamilton Heights
388698,Ocean Hill,Springfield Gardens South
388993,Port Richmond,Mariners Harbor
389060,Pelham Parkway,Upper West Side South
389087,Windsor Terrace,Green-Wood Cemetery
389166,Queensbridge/Ravenswood,Elmhurst/Maspeth
389333,Brooklyn Navy Yard,Battery Park City
389436,Brooklyn Heights,Canarsie
389495,Sunset Park West,Bensonhurst East
389570,Sunnyside,Kew Gardens Hills
389683,Astoria,Ocean Parkway South
389805,Corona,Flatlands
389963,Jamaica,City Island
390203,Howard Beach,Baisley Park
390358,Howard Beach,Elmhurst
390362,Old Astoria,SoHo
390717,Marine Park/Mill Basin,Bensonhurst East
390893,Upper East Side North,Homecrest
391022,Old Astoria,Central Harlem North
391075,Steinway,Springfield Gardens North
391096,Schuylerville/Edgewater Park,Pelham Parkway
391137,Woodside,East New York
391463,South Ozone Park,Sheepshead Bay
391833,Rego Park,Clinton West
392051,DUMBO/Vinegar Hill,Flatlands
392073,Crotona Park East,Yorkville East
392075,Ozone Park,Steinway
392078,Williamsbridge/Olinville,East Tremont
392137,Queens Village,Flushing
392147,Central Harlem,Forest Park/Highland Park
392274,Flushing,Woodlawn/Wakefield
392279,Williamsburg (South Side),Glendale
392287,Old Astoria,Briarwood/Jamaica Hills
392289,Whitestone,Greenwich Village North
392298,East Concourse/Concourse Village,UN/Turtle Bay South
392341,Midwood,Woodside
392420,Cobble Hill,Bloomingdale
392588,Middle Village,Queensbridge/Ravenswood
392619,Williamsburg (South Side),Midwood
392799,Kensington,Murray Hill
392809,Gravesend,Marine Park/Floyd Bennett Field
392819,Bronx Park,Central Harlem North
393020,Inwood,Murray Hill
393143,Fresh Meadows,Jackson Heights
393229,Briarwood/Jamaica Hills,Cambria Heights
393414,Steinway,Howard Beach
393447,Ozone Park,Richmond Hill
393597,Jamaica Estates,Hammels/Arverne
393796,Williamsburg (South Side),Brownsville
393927,Jamaica,Gowanus
394019,Murray Hill-Queens,Rego Park
394020,Flushing,Brownsville
394101,Greenpoint,Washington Heights South
394138,Flushing,Gramercy
394145,East Tremont,College Point
394161,Bushwick North,Forest Hills
394383,Briarwood/Jamaica Hills,Queens Village
394394,Flatbush/Ditmas Park,Midtown North
394402,Greenpoint,Midtown Center
394411,Washington Heights North,Eastchester
394468,Spuyten Duyvil/Kingsbridge,West Chelsea/Hudson Yards
394510,Westchester Village/Unionport,Murray Hill
394543,Fordham South,Van Nest/Morris Park
394600,Richmond Hill,Prospect-Lefferts Gardens
394652,Pelham Parkway,University Heights/Morris Heights
394763,Glendale,Briarwood/Jamaica Hills
394825,Soundview/Bruckner,Queensboro Hill
395361,Yorkville East,Flushing Meadows-Corona Park
395444,East Concourse/Concourse Village,Lincoln Square East
395471,East Tremont,Chinatown
395532,Bushwick South,World Trade Center
395545,East Harlem South,Great Kills
395740,Flushing Meadows-Corona Park,Kew Gardens Hills
395768,Fort Greene,Maspeth
395837,University Heights/Morris Heights,Eastchester
395907,Pelham Bay,East Concourse/Concourse Village
396060,Richmond Hill,Cypress Hills
396308,Bedford Park,Van Nest/Morris Park
396348,Forest Hills,Fordham South
396569,Old Astoria,Newark Airport
396588,Central Harlem North,Pelham Bay Park
396618,Steinway,Alphabet City
396619,Bedford,Little Italy/NoLiTa
396681,Roosevelt Island,Old Astoria
396718,South Ozone Park,Downtown Brooklyn/MetroTech
397543,East Flushing,South Ozone Park
397747,Corona,College Point
397806,Saint George/New Brighton,Murray Hill
397827,Windsor Terrace,Bushwick North
397838,Coney Island,College Point
397862,Willets Point,East Williamsburg
397884,Claremont/Bathgate,Jamaica
397924,Schuylerville/Edgewater Park,Van Cortlandt Village
397950,Flushing Meadows-Corona Park,Riverdale/North Riverdale/Fieldston
398000,College Point,Penn Station/Madison Sq West
398049,Prospect Heights,Morningside Heights
398092,Bushwick North,Upper East Side North
398117,Old Astoria,Bay Terrace/Fort Totten
398121,Central Harlem North,Queens Village
398122,Carroll Gardens,Manhattanville
398234,Flushing,Norwood
398570,Yorkville East,Newark Airport
398576,Jackson Heights,East Tremont
398584,Central Park,East Tremont
398742,Fordham South,Inwood Hill Park
398853,Williamsburg (South Side),Coney Island
398961,Queensboro Hill,Murray Hill-Queens
399121,Bushwick North,Rego Park
399237,Carroll Gardens,Central Harlem
399256,Coney Island,Baisley Park
399361,Flushing Meadows-Corona Park,SoHo
399414,Red Hook,Central Park
399430,Prospect Park,Upper West Side South
399499,Flushing Meadows-Corona Park,South Williamsburg
399507,Columbia Street,Bay Ridge
399519,Soundview/Bruckner,Upper West Side South
399549,Flushing,Clinton East
399578,Cobble Hill,Glendale
399626,Stuyvesant Heights,Woodhaven
399627,Maspeth,Yorkville West
399634,Long Island City/Hunters Point,Flatiron
399635,Carroll Gardens,Long Island City/Queens Plaza
399659,East Williamsburg,Queens Village
399680,Williamsburg (North Side),Bensonhurst West
399696,Greenpoint,Stuy Town/Peter Cooper Village
399700,Bushwick North,Chinatown
399727,Bushwick South,Cypress Hills
399739,JFK Airport,Upper West Side South
399741,Elmhurst/Maspeth,Penn Station/Madison Sq West
399743,Highbridge Park,Bushwick South
399771,Hamilton Heights,Battery Park
399925,Brownsville,Astoria
399944,Old Astoria,Williamsburg (North Side)
399957,Hamilton Heights,Coney Island
400038,Woodside,Parkchester
400179,Ridgewood,Queensboro Hill
400182,Coney Island,Financial District North
400323,West Concourse,JFK Airport
400333,Windsor Terrace,Middle Village
400343,Flushing,Soundview/Castle Hill
400471,DUMBO/Vinegar Hill,Hammels/Arverne
400747,Steinway,Chinatown
400789,East Flatbush/Farragut,Sheepshead Bay
400950,Flushing Meadows-Corona Park,Flatiron
401003,Willets Point,DUMBO/Vinegar Hill
401007,Gowanus,Erasmus
401054,Coney Island,Long Island City/Queens Plaza
401369,Douglaston,Woodside
401458,JFK Airport,Saint Albans
401500,Gravesend,Clinton Hill
401672,Cypress Hills,East Harlem South
401832,East Flushing,Upper East Side South
402029,Central Park,Queens Village
402502,East Flatbush/Remsen Village,Flatbush/Ditmas Park
402708,Elmhurst,Canarsie
402739,Woodhaven,North Corona
402804,Melrose South,SoHo
402833,University Heights/Morris Heights,Morningside Heights
402844,Bellerose,Woodhaven
402865,Baisley Park,LaGuardia Airport
402884,Middle Village,Steinway
402898,Jamaica,East Flatbush/Farragut
402907,Brooklyn Heights,Hunts Point
403162,Rego Park,Homecrest
403266,South Ozone Park,Briarwood/Jamaica Hills
403277,Homecrest,Union Sq
403335,Bushwick South,Midtown East
403450,Mott Haven/Port Morris,Murray Hill
403492,South Ozone Park,Brownsville
403569,Inwood Hill Park,Spuyten Duyvil/Kingsbridge
403963,Windsor Terrace,Sheepshead Bay
404231,Astoria Park,Forest Hills
404246,Queensboro Hill,Central Harlem North
404334,Washington Heights North,Williamsbridge/Olinville
404402,North Corona,Queensbridge/Ravenswood
404442,Willets Point,Boerum Hill
404459,Elmhurst/Maspeth,Greenwich Village North
404508,Corona,Flatiron
404574,Willets Point,Marine Park/Mill Basin
404766,Red Hook,Financial District South
404789,Astoria Park,JFK Airport
404838,Red Hook,Seaport
404840,Fordham South,Williamsbridge/Olinville
405086,Rego Park,SoHo
405089,South Williamsburg,Prospect-Lefferts Gardens
405144,Red Hook,Prospect Park
405376,Yorkville East,Union Sq
405383,Pelham Parkway,Spuyten Duyvil/Kingsbridge
405436,Columbia Street,DUMBO/Vinegar Hill
405452,Baisley Park,Elmhurst/Maspeth
405532,College Point,Ridgewood
405641,Red Hook,Chinatown
406335,Soundview/Castle Hill,Upper West Side North
406351,Flushing Meadows-Corona Park,Pelham Parkway
406404,LaGuardia Airport,East Williamsburg
406414,Bloomingdale,Pelham Parkway
406496,Flushing Meadows-Corona Park,Manhattan Valley
406519,Flushing Meadows-Corona Park,East New York
406958,Boerum Hill,Rockaway Park
407301,Long Island City/Hunters Point,Canarsie
407716,Stuyvesant Heights,Middle Village
407809,Longwood,Crotona Park East
407877,Mott Haven/Port Morris,Penn Station/Madison Sq West
407967,Bedford,Hammels/Arverne
408006,Morningside Heights,Elmhurst
408125,Elmhurst/Maspeth,Bay Ridge
408213,Bronx Park,Pelham Bay
408228,Sheepshead Bay,East Williamsburg
408298,Park Slope,Westerleigh
408312,Williamsburg (South Side),Sheepshead Bay
408337,Williamsburg (North Side),Melrose South
408373,East Williamsburg,Seaport
408535,Ridgewood,Lower East Side
408818,Bath Beach,Bensonhurst East
408909,Fresh Meadows,Bedford
408936,Old Astoria,Canarsie
409062,Clinton Hill,Central Harlem North
409175,Belmont,Lincoln Square East
409232,Fresh Meadows,Rego Park
409412,Long Island City/Hunters Point,Willets Point
409434,Fordham South,Woodlawn/Wakefield
409437,Jamaica,Sunset Park West
409657,Highbridge Park,Schuylerville/Edgewater Park
409791,Bedford,Kensington
409869,Long Island City/Hunters Point,Park Slope
409946,Rego Park,Boerum Hill
409988,Highbridge,Upper West Side North
410022,Pelham Bay Park,Van Nest/Morris Park
410129,Middle Village,Van Nest/Morris Park
410155,Sunnyside,Cypress Hills
410158,Highbridge,Stuy Town/Peter Cooper Village
410174,West Concourse,Sunnyside
410194,Astoria,Springfield Gardens North
410214,East Harlem North,Brownsville
410248,Jamaica Estates,Fresh Meadows
410303,West Concourse,Forest Hills
410376,Bushwick South,Two Bridges/Seward Park
410398,Williamsburg (South Side),Woodhaven
410423,Greenpoint,Seaport
410444,Forest Hills,Newark Airport
410537,Ridgewood,Rockaway Park
410645,Sheepshead Bay,South Ozone Park
410666,Bayside,Briarwood/Jamaica Hills
410719,Stuyvesant Heights,Red Hook
410807,Kew Gardens,Crown Heights South
410905,Coney Island,Breezy Point/Fort Tilden/Riis Beach
411266,Whitestone,Flushing Meadows-Corona Park
411523,Pelham Bay Park,Yorkville East
411656,Eastchester,Riverdale/North Riverdale/Fieldston
411705,South Ozone Park,Manhattan Beach
411820,Ridgewood,Gramercy
411821,Murray Hill-Queens,West Farms/Bronx River
411877,Greenpoint,Longwood
411908,Bushwick North,Lenox Hill West
411944,Gowanus,East Harlem South
412024,Williamsburg (North Side),Chinatown
412076,Bushwick North,Bensonhurst East
412077,Prospect Park,Kips Bay
412082,Boerum Hill,West Concourse
412085,Bayside,Fresh Meadows
412411,Long Island City/Queens Plaza,East Flushing
412456,Morningside Heights,Co-Op City
412586,East Flushing,Upper East Side North
412596,Bloomingdale,Claremont/Bathgate
412614,Central Park,Coney Island
412671,Columbia Street,East Williamsburg
412672,East Williamsburg,East Flatbush/Farragut
412678,Jamaica,Pelham Bay
412680,Highbridge,Yorkville West
412810,Highbridge,Garment District
412912,East Harlem South,Coney Island
413135,Flushing,Two Bridges/Seward Park
413238,Williamsbridge/Olinville,Parkchester
413251,East Tremont,Van Cortlandt Village
413295,Fort Greene,Corona
413326,Coney Island,East Flatbush/Farragut
413410,Queensboro Hill,Bensonhurst West
413423,Glendale,Lenox Hill East
413553,Carroll Gardens,Woodside
413659,Sunnyside,Midwood
413842,Starrett City,East Flatbush/Remsen Village
414009,Long Island City/Queens Plaza,Washington Heights North
414092,Prospect Park,Long Island City/Queens Plaza
414127,Central Park,Flatbush/Ditmas Park
414173,Williamsburg (South Side),Elmhurst
414587,Middle Village,Washington Heights North
414614,Bloomingdale,Highbridge
414940,Central Harlem North,Howard Beach
415067,Gravesend,Flatbush/Ditmas Park
415147,Homecrest,Flatbush/Ditmas Park
415154,Steinway,Stuyvesant Heights
415215,Park Slope,South Jamaica
415404,Central Park,Homecrest
415643,Jackson Heights,Clinton Hill
415746,Bloomingdale,East Elmhurst
416020,South Jamaica,Kew Gardens
416182,East Concourse/Concourse Village,Queensbridge/Ravenswood
416501,Hammels/Arverne,Sunset Park East
416641,Queens Village,Corona
416869,West Concourse,Bay Terrace/Fort Totten
416900,Highbridge,West Chelsea/Hudson Yards
416928,City Island,Elmhurst
416935,Highbridge,Williamsburg (South Side)
416969,West Concourse,Battery Park City
417037,Baisley Park,Jackson Heights
417073,Manhattanville,Parkchester
417206,Canarsie,Jamaica Estates
417425,Baisley Park,Rego Park
417756,Riverdale/North Riverdale/Fieldston,Midtown Center
417863,Central Park,Kensington
417891,Highbridge,Financial District North
417981,Bensonhurst West,Borough Park
418128,Melrose South,Jamaica
418248,Ridgewood,Clinton Hill
418285,Kew Gardens Hills,Woodside
418324,Clinton Hill,Red Hook
418491,Queensbridge/Ravenswood,Flatbush/Ditmas Park
418497,Claremont/Bathgate,Van Cortlandt Park
418701,Yorkville West,Grymes Hill/Clifton
418711,Woodside,Meatpacking/West Village West
418758,Carroll Gardens,Bushwick North
418775,Washington Heights North,Morrisania/Melrose
418804,Woodlawn/Wakefield,West Concourse
418908,Central Harlem North,Battery Park
418916,West Concourse,Downtown Brooklyn/MetroTech
418921,Forest Hills,Van Cortlandt Park
419128,Steinway,Hunts Point
419331,Long Island City/Queens Plaza,Downtown Brooklyn/MetroTech
419523,Schuylerville/Edgewater Park,Allerton/Pelham Gardens
419588,Columbia Street,Carroll Gardens
419592,Mott Haven/Port Morris,Greenwich Village South
419685,Briarwood/Jamaica Hills,Penn Station/Madison Sq West
419698,Coney Island,Arrochar/Fort Wadsworth
419699,Bay Ridge,Flatbush/Ditmas Park
419732,Long Island City/Hunters Point,Garment District
420313,Brooklyn Navy Yard,South Williamsburg
420372,East Concourse/Concourse Village,Allerton/Pelham Gardens
420398,Elmhurst/Maspeth,Forest Park/Highland Park
420491,University Heights/Morris Heights,East Harlem North
420517,Astoria Park,Midtown North
420530,Long Island City/Queens Plaza,DUMBO/Vinegar Hill
420573,Willets Point,East Harlem North
420580,DUMBO/Vinegar Hill,East Flushing
420734,Newark Airport,Astoria
420809,Park Slope,Woodhaven
421047,Long Island City/Queens Plaza,Mott Haven/Port Morris
421158,Ocean Hill,Flatlands
421222,Sunnyside,Little Italy/NoLiTa
421230,Red Hook,UN/Turtle Bay South
421357,Briarwood/Jamaica Hills,Queensboro Hill
421459,Woodlawn/Wakefield,Hamilton Heights
421489,Astoria,Brooklyn Navy Yard
421596,DUMBO/Vinegar Hill,Madison
421622,Saint Albans,Glendale
421888,East Elmhurst,Westchester Village/Unionport
421960,Cambria Heights,Little Italy/NoLiTa
421989,Elmhurst/Maspeth,East New York
422018,East Flatbush/Remsen Village,Park Slope
422031,Central Harlem,Sheepshead Bay
422270,Bushwick South,Times Sq/Theatre District
422357,Williamsburg (South Side),East Harlem South
422444,LaGuardia Airport,Murray Hill
422570,Corona,Midtown South
